stop_id,stop_name,stop_lat,stop_lon
27.47153.032023050112241740,Stop 40,-27.47167,153.02598
27.47153.03202305011224170,Stop 0,-27.47167,153.02598
27.46153.032023050112515027,Stop 27,-27.45603,153.03342
27.46153.03202305011304490,Stop 0,-27.45603,153.03342
27.43153.072023050113180539,Stop 39,-27.43337,153.06542
27.43153.07202305011321200,Stop 0,-27.43337,153.06542
27.43153.152023050113364286,Stop 86,-27.42612,153.15357
27.43153.15202305011400070,Stop 0,-27.42815,153.15248
27.43153.152023050114050222,Stop 22,-27.42563,153.15028
27.43153.15202305020631480,Stop 0,-27.42603,153.15005
27.47153.0220230502072026163,Stop 163,-27.46938,153.02472
27.47153.02202305020745260,Stop 0,-27.46938,153.0247
27.48153.022023050207594931,Stop 31,-27.47898,153.02308
27.48153.02202305020816210,Stop 0,-27.47898,153.02308
27.49153.042023050208265328,Stop 28,-27.48675,153.03518
27.49153.04202305020844560,Stop 0,-27.48675,153.03518
27.43153.1520230502091836126,Stop 126,-27.4256,153.15025
27.43153.15202305020958020,Stop 0,-27.42602,153.15012
27.48153.0420230502103228159,Stop 159,-27.48257,153.03635
27.48153.04202305021046300,Stop 0,-27.48257,153.03635
27.5153.042023050210541524,Stop 24,-27.50083,153.03592
27.5153.04202305021116180,Stop 0,-27.50083,153.03592
27.49153.032023050211531271,Stop 71,-27.4873,153.02963
27.49153.03202305021202190,Stop 0,-27.4873,153.02963
27.47153.032023050212120437,Stop 37,-27.47142,153.02628
27.47153.03202305021227030,Stop 0,-27.47153,153.02608
27.46153.032023050212392127,Stop 27,-27.45607,153.03345
27.46153.03202305021248020,Stop 0,-27.45607,153.03345
27.43153.1520230502132137118,Stop 118,-27.42588,153.1545
27.43153.15202305022006300,Stop 0,-27.42605,153.15
27.44153.172023050220144435,Stop 35,-27.4443,153.17172
27.44153.17202305022025270,Stop 0,-27.4443,153.17172
27.43153.152023050220323136,Stop 36,-27.42605,153.14998
27.43153.15202305030618200,Stop 0,-27.426,153.1501
27.47153.0220230503070319143,Stop 143,-27.46927,153.02453
27.47153.02202305030716330,Stop 0,-27.46927,153.02453
27.48153.022023050307312636,Stop 36,-27.47903,153.02313
27.48153.02202305030753530,Stop 0,-27.47852,153.02295
27.47153.032023050308133841,Stop 41,-27.47148,153.02627
27.47153.03202305030813380,Stop 0,-27.47148,153.02627
27.46153.032023050308425728,Stop 28,-27.45602,153.0334
27.46153.03202305030858520,Stop 0,-27.45602,153.0334
27.48153.042023050309085629,Stop 29,-27.48255,153.03633
27.48153.04202305030934180,Stop 0,-27.4813,153.03835
27.43153.1520230503101252142,Stop 142,-27.42562,153.1503
27.43153.15202305031042250,Stop 0,-27.42603,153.15015
27.5153.0420230503112056150,Stop 150,-27.5006,153.03578
27.5153.04202305031137260,Stop 0,-27.5006,153.03578
27.49153.042023050311463024,Stop 24,-27.48678,153.0352
27.48153.04202305031230540,Stop 0,-27.4812,153.0393
27.43153.1520230503131226143,Stop 143,-27.42598,153.14998
27.43153.15202305031919160,Stop 0,-27.42608,153.14995
27.45153.172023050319264543,Stop 43,-27.44573,153.17178
27.45153.17202305031935380,Stop 0,-27.44573,153.17178
27.43153.152023050319422635,Stop 35,-27.42603,153.14998
27.43153.15202305040648540,Stop 0,-27.42605,153.15358
27.47153.0220230504072947130,Stop 130,-27.46935,153.02475
27.47153.02202305040801340,Stop 0,-27.46932,153.02455
27.43153.1520230504084118137,Stop 137,-27.42562,153.15028
27.43153.15202305040919560,Stop 0,-27.42603,153.15015
27.48153.0420230504095308141,Stop 141,-27.4826,153.03635
27.48153.04202305041009090,Stop 0,-27.4826,153.03635
27.5153.042023050410143223,Stop 23,-27.50062,153.03597
27.5153.04202305041026300,Stop 0,-27.50062,153.03597
27.48153.022023050410393942,Stop 42,-27.47845,153.02203
