stop_id,trip_id,timepoint,stop_sequence,arrival_time,departure_time
27.436153.173202304191247450,T_122,1,1,12:47:45,12:47:45
27.426153.152023041913060252,T_122,1,2,13:06:02,13:06:02
27.426153.15202304192030590,T_123,1,1,20:30:59,20:30:59
27.446153.1722023041920380441,T_123,1,2,20:38:04,20:38:04
27.446153.172202304192047120,T_124,1,1,20:47:12,20:47:12
27.426153.152023041920544339,T_124,1,2,20:54:43,20:54:43
27.426153.15202304200617010,T_125,1,1,06:17:01,06:17:01
27.469153.02520230420065935159,T_125,1,2,06:59:35,06:59:35
27.469153.025202304200735090,T_126,1,1,07:35:09,07:35:09
27.479153.0232023042007471430,T_126,1,2,07:47:14,07:47:14
27.479153.023202304200813020,T_127,1,1,08:13:02,08:13:02
27.456153.0332023042008333147,T_127,1,2,08:33:31,08:33:31
27.456153.033202304200839550,T_128,1,1,08:39:55,08:39:55
27.426153.1520230420091157121,T_128,1,2,09:11:57,09:11:57
27.426153.15202304200937410,T_129,1,1,09:37:41,09:37:41
27.483153.03620230420100654133,T_129,1,2,10:06:54,10:06:54
27.483153.036202304201024480,T_130,1,1,10:24:48,10:24:48
27.471153.0262023042010381244,T_130,1,2,10:38:12,10:38:12
27.471153.026202304201102240,T_131,1,1,11:02:24,11:02:24
27.501153.03620230420120400111,T_131,1,2,12:04:00,12:04:00
27.501153.036202304201224140,T_132,1,1,12:24:14,12:24:14
27.441153.12820230420125641124,T_132,1,2,12:56:41,12:56:41
27.441153.128202304201301310,T_133,1,1,13:01:31,13:01:31
27.426153.152023042013384686,T_133,1,2,13:38:46,13:38:46
27.426153.15202304210443170,T_134,1,1,04:43:17,04:43:17
27.469153.02520230421051748132,T_134,1,2,05:17:48,05:17:48
27.469153.025202304210556420,T_135,1,1,05:56:42,05:56:42
27.479153.0232023042106090731,T_135,1,2,06:09:07,06:09:07
27.479153.023202304210618020,T_136,1,1,06:18:02,06:18:02
27.428153.14720230421071621153,T_136,1,2,07:16:21,07:16:21
27.426153.15202304210820240,T_137,1,1,08:20:24,08:20:24
27.483153.03620230421092017176,T_137,1,2,09:20:17,09:20:17
27.483153.036202304210921410,T_138,1,1,09:21:41,09:21:41
27.456153.0332023042109302430,T_138,1,2,09:30:24,09:30:24
27.456153.033202304210942540,T_139,1,1,09:42:54,09:42:54
27.471153.0262023042109541434,T_139,1,2,09:54:14,09:54:14
27.471153.026202304210954140,T_140,1,1,09:54:14,09:54:14
27.501153.0362023042110204542,T_140,1,2,10:20:45,10:20:45
