stop_code,stop_id,stop_lat,stop_lon,stop_name,zone_id
U00807,10575,28.614460,77.086985,C2D Janakpuri,10575
U00810,10576,28.616659,77.087976,C4E Janakpuri,10576
U00820,10577,28.621222,77.088818,C2B Janak Puri,10577
DC4065,10578,28.622350,77.093650,Bharti College,10578
DC4066,10579,28.623200,77.096150,Virender Nagar / Dilli Haat,10579
DC4944,10580,28.625410,77.101090,Hari Nagar Depot,10580
U00967,10581,28.627917,77.100067,G Block Hari Nagar,10581
U00950,10582,28.631133,77.098567,Fateh Nagar,10582
U00928,10583,28.635737,77.096692,Tilak Nagar Jail Road,10583
DC3534,10584,28.635322,77.092959,Tilak Nagar Crossing (Najafgarh Road),10584
DC3535,10585,28.633859,77.088830,Janak Puri Check Post,10585
U00773,10586,28.632306,77.084585,B2A Janakpuri,10586
U00712,10587,28.630488,77.080047,Janak Puri District Centre,10587
U00679,10588,28.629119,77.076482,Dholi Piao,10588
U00617,10589,28.626449,77.069690,Vikaspuri Crossing,10589
U00600,10590,28.624597,77.064980,Uttam Nagar East Metro Station,10590
U00779,10591,28.589983,77.087017,Mangla Puri Terminal,10591
U00732,10592,28.591000,77.081400,Health Centre,10592
U00714,10593,28.592833,77.079486,Dwarka Crossing / Maharaja Agrasen Hospital,10593
U99641,10594,28.594283,77.073867,Dwarka Sec 1,10594
U00626,10595,28.595421,77.070134,J M International School,10595
U00589,10596,28.597335,77.064944,Dwarka Sec 2-6,10596
U00558,10597,28.599779,77.061168,Madhu Vihar,10597
U00526,10598,28.603800,77.055100,Rajapuri,10598
DC3647,10599,28.605032,77.051737,Matiyala Xing,10599
U00469,10600,28.604518,77.046323,DPS Matiyala,10600
U00459,10601,28.602648,77.043175,Dwarka Sec 3-4,10601
U00449,10602,28.602551,77.040932,Dwarka Sec 13-3 Xing,10602
U00439,10603,28.603988,77.038876,MRV School Sec 13 Dwarka,10603
U00424,10604,28.605684,77.036274,Dwarka Sec 13,10604
U00416,10605,28.607416,77.035099,NSIT (Netaji Subhas Institute) / Sulahkul Mandir,10605
DC3626,10606,28.610723,77.034031,Suraj Vihar,10606
U00389,10607,28.618926,77.029585,Kakrola More,10607
U00377,10608,28.619809,77.024876,Kakrola Bridge,10608
U00367,10609,28.619701,77.017665,Nangli Dairy,10609
DC4881,10610,28.618803,77.015219,Chhathh Ghat Park,10610
U00354,10611,28.618083,77.013083,Arjun Park,10611
U00329,10612,28.616258,77.008012,Nangli Sakrawati Crossing,10612
DC3562,10613,28.614630,77.003904,Nangli Sakrawati,10613
U00293,10614,28.613536,76.999497,Sai Baba Mandir,10614
U00285,10615,28.612929,76.995552,Power House NajafGarh,10615
U00261,10616,28.612509,76.992360,Tuda Mandi,10616
U03064,10617,28.586388,77.253259,Nizamuddin Railway Station,10617
U03061,10618,28.582500,77.252700,Rajdoot Hotel,10618
U03122,10619,28.574490,77.256841,Ashram (Hari Nagar),10619
U03063,10620,28.566750,77.253117,Sri Niwaspuri / PG DAV College Lajpat Nagar,10620
U99867A,10621,28.515290,77.281062,ESI Hospital Okhla,10621
U03362,10622,28.516400,77.283500,Central Work Shop II,10622
DC3707,10623,28.666960,77.227456,ISBT Kashmere Gate Terminal,10623
U02517,10624,28.666662,77.219260,Tees Hazari Court,10624
U99922,10625,28.667100,77.214900,St Stephen Hospital,10625
U02411,10626,28.666336,77.208872,Ice Factory (Rani Jhansi Road),10626
U02348,10627,28.669035,77.204663,Roshnara Road,10627
U02235,10628,28.671700,77.200700,Roshnara Bagh,10628
U02246,10629,28.677400,77.201633,Clock Tower,10629
U02208,10630,28.680400,77.199300,Shakti Nagar,10630
U02143,10631,28.679846,77.195746,Shakti Nagar Nangia Park,10631
U02040,10632,28.677233,77.188967,Chowki No 2 / Gulabi Bagh Crossing,10632
U02023,10633,28.674998,77.188525,Gulabi Bagh,10633
U01992,10634,28.672401,77.186038,Shastri Nagar A Block,10634
U01945,10635,28.671105,77.184219,Subhadra Colony,10635
U01912,10636,28.669997,77.181336,Shastri Nagar Metro Station,10636
U01837,10637,28.671100,77.176050,Shastri Nagar E Block,10637
U01790,10638,28.671600,77.173000,Shastri Nagar Shiv Mandir,10638
U01727,10639,28.673633,77.168983,Inderlok Metro Station,10639
U01664,10640,28.680933,77.165433,Kanhaiya Nagar,10640
U01627,10641,28.686100,77.162900,B3 Keshav Puram,10641
U01621,10642,28.687583,77.162267,B-4 Keshav Puram,10642
U01014,10643,28.694632,77.105225,Mangol Pur School (Kanjhawla Road),10643
U00934,10644,28.698239,77.097085,Avantika Xing,10644
U00658,10645,28.715500,77.074300,Rohini Sec 20/21 More,10645
DC4512,10646,28.665305,76.943439,Satyapuram Jharoda,10646
DC4493,10647,28.655083,76.950083,Jharoda Kalan,10647
DC4494,10648,28.650850,76.953100,Jharoda Village,10648
DC4495,10649,28.646688,76.956119,S.S. Kanya Vidhyalaya,10649
DC4496,10650,28.642863,76.958365,PTS Jharoda,10650
DC4497,10651,28.638805,76.960707,CRPF Jharoda,10651
DC4503,10652,28.633583,76.963783,Sainik Enclave Jharoda,10652
DC4498,10653,28.630450,76.965683,Saraswati Kunj Jharoda,10653
DC4504,10654,28.627867,76.967333,Naveen Palace,10654
DC4499,10655,28.623817,76.970483,Baba Haridass Nagar,10655
DC4500,10656,28.619058,76.974408,New Anaj Mandi,10656
DC4501,10657,28.615500,76.976417,Surakh Pur Crossing,10657
U00598,10658,28.626011,77.068195,Uttam Nagar,10658
DC3691,10659,28.619633,77.079183,A-3 Janak Puri,10659
U00766,10660,28.621900,77.084200,C-2 Janakpuri,10660
U00825,10661,28.621752,77.092199,Bharti College / C2B Janak Puri,10661
U00818,10662,28.617217,77.088345,C4E Janakpuri,10662
U00870,10663,28.615417,77.092583,Central Market C3 Janakpuri,10663
U00903,10664,28.616333,77.095250,C-4H Janakpuri,10664
