stop_id,trip_id,timepoint,stop_sequence,arrival_time,departure_time
27.5153.042023042612224427,T_163,1,2,786,786
27.5153.04202304261244470,T_164,1,1,811,811
27.48153.042023042612531122,T_164,1,2,784,784
27.48153.04202304261313070,T_165,1,1,800,800
27.43153.1520230426135103137,T_165,1,2,834,834
27.43153.15202304261354570,T_166,1,1,891,891
27.43153.152023042614264843,T_166,1,2,914,914
27.43153.15202304270648360,T_167,1,1,444,444
27.47153.0220230427075016177,T_167,1,2,486,486
27.47153.02202304270826470,T_168,1,1,553,553
27.43153.1520230427091208162,T_168,1,2,560,560
27.43153.15202304270920350,T_169,1,1,595,595
27.46153.0320230427095333134,T_169,1,2,626,626
27.46153.03202304271005510,T_170,1,1,656,656
27.48153.042023042710135931,T_170,1,2,672,672
27.48153.04202304271028410,T_171,1,1,669,669
27.48153.022023042710404937,T_171,1,2,689,689
27.48153.02202304271057240,T_172,1,1,681,681
27.47153.032023042711104033,T_172,1,2,710,710
27.47153.03202304271110400,T_173,1,1,710,710
27.43153.1520230427115914135,T_173,1,2,733,733
27.43153.15202304271235010,T_174,1,1,756,756
27.5153.0420230427130926144,T_174,1,2,815,815
27.5153.04202304271325460,T_175,1,1,851,851
27.49153.042023042713330021,T_175,1,2,813,813
27.48153.04202304271414500,T_176,1,1,904,904
27.44153.132023042714292787,T_176,1,2,896,896
27.44153.13202304271442150,T_177,1,1,897,897
27.43153.152023042714545045,T_177,1,2,944,944
27.43153.15202304280609220,T_178,1,1,391,391
27.47153.0220230428064630158,T_178,1,2,436,436
27.47153.02202304280723350,T_179,1,1,478,478
27.43153.1520230428080127144,T_179,1,2,508,508
27.43153.15202304280820460,T_180,1,1,546,546
27.48153.0220230428085839159,T_180,1,2,577,577
27.48153.02202304280918040,T_181,1,1,562,562
27.47153.032023042809315843,T_181,1,2,629,629
27.47153.03202304280931580,T_182,1,1,629,629
27.48153.042023042810153669,T_182,1,2,651,651
27.48153.04202304281024490,T_183,1,1,673,673
27.5153.042023042810295924,T_183,1,2,688,688
27.49153.03202304281139010,T_184,1,1,700,700
27.48153.122023042812035487,T_184,1,2,777,777
27.48153.12202304281233490,T_185,1,1,802,802
27.43153.152023042812582289,T_185,1,2,800,800
27.43153.15202304290517030,T_186,1,1,320,320
27.47153.0220230429054706137,T_186,1,2,353,353
27.47153.02202304290621540,T_187,1,1,435,435
27.48153.022023042906292029,T_187,1,2,409,409
27.48153.02202304290648140,T_188,1,1,422,422
27.43153.1520230429072739158,T_188,1,2,486,486
27.43153.15202304290754180,T_189,1,1,492,492
27.48153.0420230429082003131,T_189,1,2,503,503
27.48153.04202304290844070,T_190,1,1,531,531
27.46153.032023042908512026,T_190,1,2,551,551
27.46153.03202304290901310,T_191,1,1,572,572
27.43153.1520230429093234143,T_191,1,2,606,606
27.43153.15202304290941090,T_192,1,1,590,590
27.4153.1120230429095930121,T_192,1,2,629,629
27.4153.11202304291025480,T_193,1,1,673,673
27.47153.032023042910511881,T_193,1,2,669,669
27.47153.03202304291051180,T_194,1,1,669,669
27.5153.042023042911185440,T_194,1,2,732,732
27.5153.04202304291133160,T_195,1,1,709,709
27.43153.1520230429120228144,T_195,1,2,750,750
27.43153.15202304291234090,T_196,1,1,763,763
27.33153.0620230429130508168,T_196,1,2,793,793
27.33153.06202304291330510,T_197,1,1,861,861
27.43153.1520230429141136183,T_197,1,2,887,887
27.43153.15202304300930460,T_198,1,1,616,616
27.42153.0620230430094950108,T_198,1,2,639,639
27.42153.06202304301017120,T_199,1,1,629,629
27.43153.1520230430110131154,T_199,1,2,692,692
27.43153.15202305010604320,T_200,1,1,396,396
27.47153.0220230501064331147,T_200,1,2,434,434
27.47153.02202305010721430,T_201,1,1,484,484
27.44153.1320230501074230111,T_201,1,2,492,492
27.44153.13202305010746030,T_202,1,1,469,469
27.43153.152023050107533238,T_202,1,2,505,505
27.43153.15202305010834530,T_203,1,1,567,567
27.48153.0420230501090408131,T_203,1,2,552,552
27.48153.04202305010927190,T_204,1,1,586,586
27.48153.022023050109380630,T_204,1,2,584,584
27.48153.02202305010959560,T_205,1,1,655,655
27.5153.0420230501114222378,T_205,1,2,724,724
27.49153.04202305011210300,T_206,1,1,760,760
27.47153.032023050112241740,T_206,1,2,761,761
27.47153.03202305011224170,T_207,1,1,761,761
27.46153.032023050112515027,T_207,1,2,821,821
27.46153.03202305011304490,T_208,1,1,833,833
27.43153.072023050113180539,T_208,1,2,803,803
