block_id,direction_id,route_id,service_id,shape_id,trip_headsign,trip_id,trip_short_name,wheelchair_accessible
13,1,R1,WK,R001_1,Aluva,R1WKL191245,19:12 Aluva,1
9,1,R1,WK,R001_1,Aluva,R1WKL081616,08:16 Aluva,1
9,0,R1,WK,R001_0,Thaikoodam,R1WKR085845,08:58 Thaikoodam,1
9,1,R1,WK,R001_1,Aluva,R1WKL094250,09:42 Aluva,1
9,0,R1,WK,R001_0,Thaikoodam,R1WKR102617,10:26 Thaikoodam,1
9,1,R1,WK,R001_1,Aluva,R1WKL111020,11:10 Aluva,1
9,0,R1,WK,R001_0,Thaikoodam,R1WKR115258,11:52 Thaikoodam,1
9,1,R1,WK,R001_1,Aluva,R1WKL123710,12:37 Aluva,1
9,0,R1,WK,R001_0,Thaikoodam,R1WKR132042,13:20 Thaikoodam,1
9,1,R1,WK,R001_1,Aluva,R1WKL140455,14:04 Aluva,1
9,0,R1,WK,R001_0,Thaikoodam,R1WKR144829,14:48 Thaikoodam,1
9,1,R1,WK,R001_1,Aluva,R1WKL153240,15:32 Aluva,1
9,0,R1,WK,R001_0,Thaikoodam,R1WKR161425,16:14 Thaikoodam,1
9,1,R1,WK,R001_1,Aluva,R1WKL165835,16:58 Aluva,1
9,0,R1,WK,R001_0,Thaikoodam,R1WKR174201,17:42 Thaikoodam,1
9,1,R1,WK,R001_1,Aluva,R1WKL182605,18:26 Aluva,1
9,0,R1,WK,R001_0,Thaikoodam,R1WKR191021,19:10 Thaikoodam,1
9,1,R1,WK,R001_1,Aluva,R1WKL195445,19:54 Aluva,1
10,1,R1,WK,R001_1,Aluva,R1WKL082756,08:27 Aluva,1
10,0,R1,WK,R001_0,Thaikoodam,R1WKR091025,09:10 Thaikoodam,1
10,1,R1,WK,R001_1,Aluva,R1WKL095430,09:54 Aluva,1
10,0,R1,WK,R001_0,Thaikoodam,R1WKR103829,10:38 Thaikoodam,1
10,1,R1,WK,R001_1,Aluva,R1WKL112255,11:22 Aluva,1
10,0,R1,WK,R001_0,Thaikoodam,R1WKR120627,12:06 Thaikoodam,1
10,1,R1,WK,R001_1,Aluva,R1WKL125040,12:50 Aluva,1
10,0,R1,WK,R001_0,Thaikoodam,R1WKR133414,13:34 Thaikoodam,1
10,1,R1,WK,R001_1,Aluva,R1WKL141825,14:18 Aluva,1
10,0,R1,WK,R001_0,Thaikoodam,R1WKR150159,15:01 Thaikoodam,1
10,1,R1,WK,R001_1,Aluva,R1WKL154610,15:46 Aluva,1
10,0,R1,WK,R001_0,Thaikoodam,R1WKR163104,16:31 Thaikoodam,1
10,1,R1,WK,R001_1,Aluva,R1WKL171605,17:16 Aluva,1
10,0,R1,WK,R001_0,Thaikoodam,R1WKR175931,17:59 Thaikoodam,1
10,1,R1,WK,R001_1,Aluva,R1WKL184335,18:43 Aluva,1
10,0,R1,WK,R001_0,Thaikoodam,R1WKR192434,19:24 Thaikoodam,1
10,1,R1,WK,R001_1,Aluva,R1WKL200845,20:08 Aluva,1
12,1,R1,WK,R001_1,Aluva,R1WKL083936,08:39 Aluva,1
12,0,R1,WK,R001_0,Thaikoodam,R1WKR092205,09:22 Thaikoodam,1
12,1,R1,WK,R001_1,Aluva,R1WKL100610,10:06 Aluva,1
12,0,R1,WK,R001_0,Thaikoodam,R1WKR105129,10:51 Thaikoodam,1
12,1,R1,WK,R001_1,Aluva,R1WKL113625,11:36 Aluva,1
12,0,R1,WK,R001_0,Thaikoodam,R1WKR121957,12:19 Thaikoodam,1
12,1,R1,WK,R001_1,Aluva,R1WKL130410,13:04 Aluva,1
12,0,R1,WK,R001_0,Thaikoodam,R1WKR134744,13:47 Thaikoodam,1
12,1,R1,WK,R001_1,Aluva,R1WKL143155,14:31 Aluva,1
12,0,R1,WK,R001_0,Thaikoodam,R1WKR151529,15:15 Thaikoodam,1
12,1,R1,WK,R001_1,Aluva,R1WKL155940,15:59 Aluva,1
12,0,R1,WK,R001_0,Thaikoodam,R1WKR164314,16:43 Thaikoodam,1
12,1,R1,WK,R001_1,Aluva,R1WKL172745,17:27 Aluva,1
12,0,R1,WK,R001_0,Thaikoodam,R1WKR181111,18:11 Thaikoodam,1
12,1,R1,WK,R001_1,Aluva,R1WKL185515,18:55 Aluva,1
12,0,R1,WK,R001_0,Thaikoodam,R1WKR193841,19:38 Thaikoodam,1
12,1,R1,WK,R001_1,Aluva,R1WKL202245,20:22 Aluva,1
14,0,R1,WK,R001_0,Thaikoodam,R1WKR082937,08:29 Thaikoodam,1
14,1,R1,WK,R001_1,Aluva,R1WKL091355,09:13 Aluva,1
14,0,R1,WK,R001_0,Thaikoodam,R1WKR095705,09:57 Thaikoodam,1
14,1,R1,WK,R001_1,Aluva,R1WKL104110,10:41 Aluva,1
14,0,R1,WK,R001_0,Thaikoodam,R1WKR112604,11:26 Thaikoodam,1
14,1,R1,WK,R001_1,Aluva,R1WKL121010,12:10 Aluva,1
14,0,R1,WK,R001_0,Thaikoodam,R1WKR125342,12:53 Thaikoodam,1
14,1,R1,WK,R001_1,Aluva,R1WKL133755,13:37 Aluva,1
14,0,R1,WK,R001_0,Thaikoodam,R1WKR142129,14:21 Thaikoodam,1
14,1,R1,WK,R001_1,Aluva,R1WKL150540,15:05 Aluva,1
14,0,R1,WK,R001_0,Thaikoodam,R1WKR154914,15:49 Thaikoodam,1
14,1,R1,WK,R001_1,Aluva,R1WKL163445,16:34 Aluva,1
14,0,R1,WK,R001_0,Thaikoodam,R1WKR171840,17:18 Thaikoodam,1
14,1,R1,WK,R001_1,Aluva,R1WKL180245,18:02 Aluva,1
14,0,R1,WK,R001_0,Thaikoodam,R1WKR184611,18:46 Thaikoodam,1
14,1,R1,WK,R001_1,Aluva,R1WKL193015,19:30 Aluva,1
15,0,R1,WK,R001_0,Thaikoodam,R1WKR084707,08:47 Thaikoodam,1
15,1,R1,WK,R001_1,Aluva,R1WKL093125,09:31 Aluva,1
15,0,R1,WK,R001_0,Thaikoodam,R1WKR101435,10:14 Thaikoodam,1
15,1,R1,WK,R001_1,Aluva,R1WKL105840,10:58 Aluva,1
7,1,R1,WK,R001_1,Aluva,R1WKL162935,16:29 Aluva,1
7,0,R1,WK,R001_0,Thaikoodam,R1WKR171250,17:12 Thaikoodam,1
7,1,R1,WK,R001_1,Aluva,R1WKL175655,17:56 Aluva,1
7,0,R1,WK,R001_0,Thaikoodam,R1WKR184021,18:40 Thaikoodam,1
7,1,R1,WK,R001_1,Aluva,R1WKL192425,19:24 Aluva,1
7,0,R1,WK,R001_0,Thaikoodam,R1WKR200911,20:09 Thaikoodam,1
7,1,R1,WK,R001_1,Aluva,R1WKL205345,20:53 Aluva,1
15,0,R1,WK,R001_0,Thaikoodam,R1WKR162815,16:28 Thaikoodam,1
15,1,R1,WK,R001_1,Aluva,R1WKL171015,17:10 Aluva,1
15,0,R1,WK,R001_0,Thaikoodam,R1WKR175341,17:53 Thaikoodam,1
15,1,R1,WK,R001_1,Aluva,R1WKL183745,18:37 Aluva,1
2,0,R1,SU,R001_0,Thaikoodam,R1SUR075930,07:59 Thaikoodam,1
2,1,R1,SU,R001_1,Aluva,R1SUL084530,08:45 Aluva,1
2,0,R1,SU,R001_0,Thaikoodam,R1SUR093648,09:36 Thaikoodam,1
2,1,R1,SU,R001_1,Aluva,R1SUL102700,10:27 Aluva,1
2,0,R1,SU,R001_0,Thaikoodam,R1SUR110930,11:09 Thaikoodam,1
2,1,R1,SU,R001_1,Aluva,R1SUL115500,11:55 Aluva,1
2,0,R1,SU,R001_0,Thaikoodam,R1SUR124030,12:40 Thaikoodam,1
2,1,R1,SU,R001_1,Aluva,R1SUL132600,13:26 Aluva,1
2,0,R1,SU,R001_0,Thaikoodam,R1SUR141028,14:10 Thaikoodam,1
2,1,R1,SU,R001_1,Aluva,R1SUL145600,14:56 Aluva,1
2,0,R1,SU,R001_0,Thaikoodam,R1SUR154130,15:41 Thaikoodam,1
2,1,R1,SU,R001_1,Aluva,R1SUL162700,16:27 Aluva,1
2,0,R1,SU,R001_0,Thaikoodam,R1SUR171230,17:12 Thaikoodam,1
2,1,R1,SU,R001_1,Aluva,R1SUL175800,17:58 Aluva,1
2,0,R1,SU,R001_0,Thaikoodam,R1SUR184330,18:43 Thaikoodam,1
2,1,R1,SU,R001_1,Aluva,R1SUL192900,19:29 Aluva,1
6,0,R1,SU,R001_0,Thaikoodam,R1SUR081530,08:15 Thaikoodam,1
6,1,R1,SU,R001_1,Aluva,R1SUL090135,09:01 Aluva,1
6,0,R1,SU,R001_0,Thaikoodam,R1SUR094728,09:47 Thaikoodam,1
6,1,R1,SU,R001_1,Aluva,R1SUL103700,10:37 Aluva,1
6,0,R1,SU,R001_0,Thaikoodam,R1SUR112330,11:23 Thaikoodam,1
6,1,R1,SU,R001_1,Aluva,R1SUL120900,12:09 Aluva,1
6,0,R1,SU,R001_0,Thaikoodam,R1SUR125430,12:54 Thaikoodam,1
6,1,R1,SU,R001_1,Aluva,R1SUL134000,13:40 Aluva,1
6,0,R1,SU,R001_0,Thaikoodam,R1SUR142428,14:24 Thaikoodam,1
6,1,R1,SU,R001_1,Aluva,R1SUL151000,15:10 Aluva,1
6,0,R1,SU,R001_0,Thaikoodam,R1SUR155530,15:55 Thaikoodam,1
6,1,R1,SU,R001_1,Aluva,R1SUL164100,16:41 Aluva,1
6,0,R1,SU,R001_0,Thaikoodam,R1SUR172630,17:26 Thaikoodam,1
6,1,R1,SU,R001_1,Aluva,R1SUL181200,18:12 Aluva,1
6,0,R1,SU,R001_0,Thaikoodam,R1SUR185730,18:57 Thaikoodam,1
6,1,R1,SU,R001_1,Aluva,R1SUL194300,19:43 Aluva,1
1,1,R1,SU,R001_1,Aluva,R1SUL075940,07:59 Aluva,1
1,0,R1,SU,R001_0,Thaikoodam,R1SUR084540,08:45 Thaikoodam,1
